X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
-9.79999974e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
-9.79999974e-02, 1.99999995e-05, 0.00000000e+00, 3.77472810e-04
-9.79999974e-02, 3.99999990e-05, 0.00000000e+00, 7.54945620e-04
-9.79999974e-02, 5.99999985e-05, 0.00000000e+00, 1.13241852e-03
-9.79999974e-02, 7.99999980e-05, 0.00000000e+00, 1.50989124e-03
-9.79999974e-02, 9.99999975e-05, 0.00000000e+00, 1.88736420e-03
-9.79999974e-02, 1.19999997e-04, 0.00000000e+00, 2.26483704e-03
-9.79999974e-02, 1.40000004e-04, 0.00000000e+00, 2.64230999e-03
-9.79999974e-02, 1.59999996e-04, 0.00000000e+00, 3.01978248e-03
-9.79999974e-02, 1.80000003e-04, 0.00000000e+00, 3.39725544e-03
-9.79999974e-02, 1.99999995e-04, 0.00000000e+00, 3.77472839e-03
-9.79999974e-02, 2.20000002e-04, 0.00000000e+00, 4.15220158e-03
-9.79999974e-02, 2.39999994e-04, 0.00000000e+00, 4.52967407e-03
-9.79999974e-02, 2.60000001e-04, 0.00000000e+00, 4.90714656e-03
-9.79999974e-02, 2.80000007e-04, 0.00000000e+00, 5.28461998e-03
-9.79999974e-02, 3.00000014e-04, 0.00000000e+00, 5.66209247e-03
-9.79999974e-02, 3.19999992e-04, 0.00000000e+00, 6.03956496e-03
-9.79999974e-02, 3.39999999e-04, 0.00000000e+00, 6.41703838e-03
-9.79999974e-02, 3.60000005e-04, 0.00000000e+00, 6.79451087e-03
-9.79999974e-02, 3.80000012e-04, 0.00000000e+00, 7.17198383e-03
-9.79999974e-02, 3.99999990e-04, 0.00000000e+00, 7.54945679e-03
-9.79999974e-02, 4.19999997e-04, 0.00000000e+00, 7.92692881e-03
-9.79999974e-02, 4.40000003e-04, 0.00000000e+00, 8.30440316e-03
-9.79999974e-02, 4.60000010e-04, 0.00000000e+00, 8.68187565e-03
-9.79999974e-02, 4.79999988e-04, 0.00000000e+00, 9.05934814e-03
-9.79999974e-02, 5.00000024e-04, 0.00000000e+00, 9.43682063e-03
-9.79999974e-02, 5.20000001e-04, 0.00000000e+00, 9.81429312e-03
-9.79999974e-02, 5.39999979e-04, 0.00000000e+00, 1.01917665e-02
-9.79999974e-02, 5.60000015e-04, 0.00000000e+00, 1.05692400e-02
-9.79999974e-02, 5.79999993e-04, 0.00000000e+00, 1.09467115e-02
-9.79999974e-02, 6.00000028e-04, 0.00000000e+00, 1.13386540e-02
-9.79999974e-02, 6.20000006e-04, 0.00000000e+00, 1.17016574e-02
-9.79999974e-02, 6.39999984e-04, 0.00000000e+00, 1.20791337e-02
-9.79999974e-02, 6.60000020e-04, 0.00000000e+00, 1.24566052e-02
-9.79999974e-02, 6.79999997e-04, 0.00000000e+00, 1.28340768e-02
-9.79999974e-02, 6.99999975e-04, 0.00000000e+00, 1.32115465e-02
-9.79999974e-02, 7.20000011e-04, 0.00000000e+00, 1.35890208e-02
-9.79999974e-02, 7.39999989e-04, 0.00000000e+00, 1.39664924e-02
-9.79999974e-02, 7.60000024e-04, 0.00000000e+00, 1.43439658e-02
-9.79999974e-02, 7.80000002e-04, 0.00000000e+00, 1.47214374e-02
-9.79999974e-02, 7.99999980e-04, 0.00000000e+00, 1.50989098e-02
-9.79999974e-02, 8.20000016e-04, 0.00000000e+00, 1.54763833e-02
-9.79999974e-02, 8.39999993e-04, 0.00000000e+00, 1.58538539e-02
-9.79999974e-02, 8.59999971e-04, 0.00000000e+00, 1.62313245e-02
-9.79999974e-02, 8.80000007e-04, 0.00000000e+00, 1.66087970e-02
-9.79999974e-02, 8.99999985e-04, 0.00000000e+00, 1.69862695e-02
-9.79999974e-02, 9.20000020e-04, 0.00000000e+00, 1.73637439e-02
-9.79999974e-02, 9.39999998e-04, 0.00000000e+00, 1.76237803e-02
-9.79999974e-02, 9.59999976e-04, 0.00000000e+00, 1.76243763e-02
-9.79999974e-02, 9.80000012e-04, 0.00000000e+00, 1.76249780e-02
-9.79999974e-02, 1.00000005e-03, 0.00000000e+00, 1.76255815e-02
-9.79999974e-02, 1.01999997e-03, 0.00000000e+00, 1.76261794e-02
-9.79999974e-02, 1.04000000e-03, 0.00000000e+00, 1.76267810e-02
